ID,Согласие_на_зачисление,Приоритет_ОП,Балл_Физика_ИКТ,Балл_Русский,Балл_Математика,Балл_ИД,Сумма_баллов
1,False,1,60,59,53,1,173
6,False,1,66,62,54,3,185
7,True,1,50,69,51,5,175
12,False,3,62,74,85,5,226
15,True,1,69,62,85,8,224
26,False,1,88,79,93,4,264
27,False,1,63,72,55,7,197
36,False,3,90,64,70,10,234
49,False,1,96,100,99,8,303
51,False,4,71,76,75,3,225
52,False,2,69,45,69,4,187
53,False,1,72,89,91,8,260
54,False,1,57,63,58,0,178
62,False,2,70,53,87,10,220
68,False,3,61,52,51,8,172
77,False,2,58,88,60,10,216
79,False,1,96,96,56,6,254
86,False,1,56,82,61,0,199
94,True,1,70,80,98,0,248
103,False,1,59,56,96,8,219
111,False,2,71,66,79,7,223
116,False,2,84,79,46,6,215
128,False,3,82,89,98,10,279
132,False,1,72,68,85,7,232
133,False,2,91,78,86,4,259
136,False,2,81,84,87,6,258
142,False,1,59,70,89,3,221
152,True,1,51,100,45,9,205
156,False,2,60,52,80,6,198
173,False,1,65,61,65,1,192
174,False,1,57,78,68,9,212
175,False,1,63,73,89,7,232
176,True,1,85,83,96,3,267
177,False,1,50,59,98,1,208
178,True,1,52,86,98,2,238
179,False,1,90,63,77,4,234
180,False,1,75,75,60,7,217
181,False,1,69,57,83,8,217
182,True,1,95,99,71,5,270
183,False,1,80,93,79,6,258
184,False,1,65,100,57,3,225
185,False,1,59,99,94,6,258
186,False,1,92,75,90,6,263
187,True,1,87,95,97,10,289
188,False,1,82,66,100,1,249
189,False,1,74,45,91,2,212
190,True,1,86,54,49,7,196
191,False,1,88,63,59,1,211
192,False,1,51,93,85,1,230
193,False,1,89,64,46,0,199
194,False,1,48,63,67,5,183
195,True,1,60,78,71,9,218
196,False,1,84,100,69,9,262
197,True,1,85,61,74,4,224
198,True,1,67,82,64,10,223
199,False,1,64,57,69,7,197
200,False,1,69,81,67,9,226
201,False,1,89,63,46,10,208
202,False,1,45,81,100,10,236
203,False,1,73,47,82,5,207
204,False,1,71,56,57,2,186
205,False,1,59,100,88,10,257
206,False,1,70,45,61,8,184
207,False,1,68,88,92,10,258
208,True,1,69,97,85,5,256
209,True,1,59,75,46,9,189
210,False,1,47,64,76,1,188
211,False,1,79,53,69,7,208
212,False,1,92,89,79,6,266
213,False,1,91,54,71,10,226
