ID,Согласие_на_зачисление,Приоритет_ОП,Балл_Физика_ИКТ,Балл_Русский,Балл_Математика,Балл_ИД,Сумма_баллов
2,True,1,83,62,48,2,195
7,False,2,45,70,53,2,170
12,True,2,72,75,86,9,242
14,False,2,81,81,51,7,220
26,False,1,88,81,89,2,260
29,False,2,100,87,62,6,255
34,True,2,53,91,70,6,220
36,False,3,92,67,68,8,235
46,False,2,46,69,91,5,211
49,True,3,96,100,97,5,298
51,False,3,70,78,69,2,219
52,True,1,68,50,70,8,196
67,True,1,93,100,80,7,280
68,False,2,69,50,48,10,177
77,False,2,48,95,54,9,206
81,True,2,63,60,94,0,217
86,True,1,50,80,61,0,191
92,False,1,87,63,74,3,227
93,True,1,58,71,89,5,223
103,True,1,59,58,96,6,219
123,True,2,87,45,58,3,193
124,False,1,56,61,80,10,207
130,True,2,60,74,67,10,211
136,True,1,80,87,88,8,263
147,True,1,58,53,95,8,214
153,True,1,72,75,59,0,206
154,True,1,49,70,68,0,187
156,True,1,61,49,80,6,196
157,True,1,79,54,85,1,219
158,True,1,52,47,67,5,171
159,True,1,59,45,76,8,188
160,False,1,61,96,62,8,227
161,True,1,59,69,87,8,223
162,True,1,91,55,79,3,228
163,True,1,86,54,69,0,209
164,True,1,62,88,71,10,231
165,False,1,78,83,62,7,230
166,True,1,78,45,77,5,205
167,True,1,89,99,100,5,293
169,True,1,95,94,51,7,247
170,False,1,75,68,52,7,202
171,True,1,95,74,50,7,226
172,True,1,62,65,91,0,218
473,False,2,90,53,83,3,229
474,True,1,46,82,84,2,214
483,False,2,47,85,64,6,202
485,False,3,65,100,72,7,244
488,True,1,53,97,74,5,229
494,False,2,63,58,59,3,183
498,True,1,85,93,76,3,257
504,True,1,60,85,64,6,215
505,False,1,98,63,86,8,255
506,False,2,65,87,62,3,217
509,True,3,47,51,49,3,150
510,True,1,74,71,45,5,195
514,False,1,72,85,87,4,248
516,False,3,86,61,51,9,207
518,True,1,51,59,91,2,203
523,True,1,89,51,99,10,249
528,False,2,52,99,71,7,229
531,False,3,73,57,86,0,216
532,False,2,82,82,77,0,241
534,False,2,69,57,52,5,183
536,True,1,51,65,81,7,204
749,False,2,97,77,74,10,258
753,True,1,82,64,68,10,224
758,False,1,95,88,61,6,250
766,False,2,80,97,98,6,281
767,True,1,73,66,72,9,220
769,True,1,86,90,95,8,279
770,True,1,98,88,58,5,249
775,True,1,57,68,78,0,203
778,True,1,94,79,51,7,231
784,True,2,45,76,96,6,223
787,True,2,95,75,82,0,252
789,True,1,63,80,97,8,248
791,True,1,51,46,45,4,146
795,True,1,50,87,88,10,235
796,True,1,54,94,97,10,255
797,True,1,45,91,100,3,239
799,True,1,96,93,62,7,258
800,True,1,54,62,89,5,210
801,True,1,64,66,97,10,237
802,True,1,48,73,53,10,184
804,False,1,94,100,100,7,301
805,True,1,63,88,59,6,216
806,True,1,83,99,99,9,290
807,True,1,69,45,75,8,197
808,True,1,50,51,48,1,150
809,False,1,77,81,66,6,230
810,True,1,80,54,60,5,199
811,True,1,90,95,87,6,278
812,True,1,60,66,86,8,220
813,True,1,52,51,53,3,159
814,False,1,88,100,64,4,256
815,True,1,53,52,82,7,194
816,True,1,100,45,98,10,253
817,True,1,71,90,79,3,243
818,True,1,66,82,52,6,206
819,True,1,54,60,91,9,214
820,True,1,72,63,66,0,201
821,True,1,82,88,58,2,230
822,False,1,59,87,45,2,193
823,True,1,64,74,68,6,212
824,False,1,89,91,67,8,255
825,True,1,57,79,86,4,226
826,True,1,98,69,76,4,247
827,True,1,48,61,57,2,168
828,True,1,88,92,89,7,276
829,True,1,64,95,63,4,226
830,False,1,85,91,69,9,254
831,True,1,70,72,67,5,214
832,False,1,75,84,49,4,212
833,True,1,88,80,49,4,221
834,False,1,94,96,48,10,248
835,True,1,61,64,90,10,225
836,False,1,49,88,53,1,191
837,True,1,97,81,90,1,269
838,False,1,96,87,81,4,268
839,False,1,96,82,61,0,239
840,False,1,78,57,77,8,220
841,True,1,70,82,89,3,244
843,False,1,91,100,59,3,253
844,True,1,73,78,73,0,224
845,True,1,72,68,72,0,212
846,True,1,89,58,96,8,251
847,False,1,83,56,89,9,237
848,True,1,49,77,51,1,178
849,False,1,80,86,86,2,254
850,True,1,87,90,72,5,254
851,True,1,47,59,90,9,205
852,True,1,57,45,58,3,163
853,True,1,61,45,85,5,196
854,True,1,78,96,72,8,254
855,True,1,77,77,47,0,201
856,True,1,86,70,50,10,216
857,False,1,83,99,58,5,245
858,True,1,83,80,79,4,246
859,True,1,66,81,73,7,227
860,True,1,83,85,95,0,263
861,True,1,81,57,69,4,211
862,True,1,74,69,67,7,217
864,True,1,50,72,55,9,186
865,False,1,54,61,48,6,169
866,True,1,89,62,53,1,205
868,True,1,92,93,52,10,247
869,True,1,60,73,95,4,232
870,True,1,88,57,79,10,234
872,True,1,57,81,94,4,236
873,True,1,45,62,49,0,156
874,True,1,84,81,51,0,216
875,True,1,81,79,48,8,216
876,True,1,52,45,52,6,155
877,True,1,55,77,70,9,211
878,True,1,83,90,45,10,228
879,True,1,99,58,50,2,209
880,True,1,68,84,72,8,232
881,True,1,54,64,94,6,218
882,False,1,80,52,91,7,230
883,True,1,100,96,57,7,260
884,True,1,88,73,59,2,222
886,True,1,83,80,45,1,209
887,True,1,64,69,58,0,191
888,True,1,45,61,77,7,190
889,True,1,83,73,94,2,252
890,True,1,84,49,54,8,195
891,True,1,86,83,46,6,221
892,True,1,77,96,57,1,231
893,False,1,73,88,57,7,225
894,True,1,76,93,45,9,223
895,True,1,82,77,82,7,248
896,True,1,69,100,51,7,227
897,True,1,69,56,95,5,225
898,True,1,91,91,72,6,260
899,True,1,78,91,87,10,266
900,False,1,54,69,54,5,182
901,False,1,73,94,54,0,221
902,True,1,61,79,82,6,228
903,True,1,66,53,45,1,165
904,True,1,79,77,56,6,218
905,True,1,46,67,85,2,200
906,True,1,87,91,65,5,248
908,True,1,84,78,63,2,227
909,True,1,98,80,69,9,256
911,False,1,74,96,62,6,238
912,False,1,85,99,76,5,265
913,True,1,54,65,81,10,210
914,True,1,71,64,60,9,204
915,False,1,69,95,94,6,264
916,True,1,94,51,94,10,249
917,True,1,56,93,58,7,214
918,True,1,94,86,56,3,239
919,True,1,59,77,75,6,217
920,True,1,97,75,87,10,269
921,True,1,93,49,51,5,198
922,True,1,87,45,100,1,233
923,True,1,99,55,80,10,244
924,True,1,68,51,46,2,167
925,True,1,57,67,48,10,182
926,True,1,45,93,69,8,215
927,True,1,79,88,83,6,256
928,False,1,91,84,50,0,225
929,True,1,88,80,71,2,241
930,True,1,57,100,83,6,246
931,True,1,64,52,45,7,168
932,True,1,81,79,94,3,257
933,False,1,83,57,86,0,226
934,True,1,69,63,86,0,218
