ID,Согласие_на_зачисление,Приоритет_ОП,Балл_Физика_ИКТ,Балл_Русский,Балл_Математика,Балл_ИД,Сумма_баллов
7,False,4,45,70,53,2,170
8,False,2,99,51,96,5,251
10,True,2,91,61,93,1,246
24,False,1,86,56,74,3,219
36,False,4,92,67,68,8,235
37,False,2,61,64,57,2,184
53,False,3,70,95,92,6,263
61,True,1,66,58,55,10,189
62,True,1,66,58,91,8,223
63,True,1,64,87,56,4,211
64,True,1,78,49,47,9,183
65,True,1,61,55,60,0,176
66,True,1,99,78,89,5,271
67,True,2,93,100,80,7,280
68,True,1,69,50,48,10,177
69,True,1,65,79,67,4,215
70,True,1,91,100,63,5,259
71,True,1,100,53,55,10,218
73,True,1,70,87,91,7,255
74,False,1,51,45,90,4,190
75,False,1,92,74,75,6,247
76,False,1,53,49,62,2,166
77,False,3,48,95,54,9,206
79,True,1,94,98,60,4,256
80,True,1,99,72,99,7,277
81,False,1,63,60,94,0,217
82,False,1,47,95,67,2,211
83,True,1,74,61,65,0,200
84,True,1,82,62,70,9,223
85,True,1,54,93,57,3,207
86,False,3,50,80,61,0,191
87,True,1,74,72,95,3,244
88,True,1,83,50,63,7,203
89,False,1,46,95,70,0,211
90,True,1,90,75,83,10,258
91,True,1,67,47,91,5,210
92,False,2,87,63,74,3,227
93,False,2,58,71,89,5,223
94,True,1,71,79,97,1,248
95,True,1,61,73,87,9,230
97,False,1,77,55,64,10,206
100,True,1,72,78,100,2,252
101,True,1,87,85,57,5,234
103,False,2,59,58,96,6,219
104,True,1,84,61,96,0,241
105,False,1,96,80,93,9,278
106,True,1,97,60,99,6,262
107,True,1,95,77,72,8,252
108,True,1,74,56,88,1,219
109,True,1,61,72,82,2,217
110,True,1,55,65,92,2,214
111,False,2,79,62,82,4,227
113,True,1,73,55,92,9,229
114,False,1,63,74,70,1,208
115,True,1,87,84,91,3,265
116,False,2,80,86,48,4,218
117,True,1,93,46,45,10,194
119,False,1,61,55,77,5,198
120,True,1,66,59,99,5,229
121,True,1,46,80,47,5,178
122,True,1,61,59,83,1,204
123,True,1,87,45,58,3,193
125,True,1,64,70,90,3,227
126,True,1,91,99,55,4,249
127,False,1,53,63,80,10,206
128,False,2,85,90,92,9,276
129,True,1,86,90,64,6,246
130,True,1,60,74,67,10,211
131,False,1,84,80,65,2,231
133,False,1,92,79,87,1,259
134,True,1,96,89,88,4,277
135,False,1,53,97,54,5,209
136,False,2,80,87,88,8,263
137,False,1,78,100,69,6,253
138,True,1,69,90,70,5,234
139,False,1,85,91,60,9,245
140,True,1,56,47,60,10,173
141,False,1,97,61,90,7,255
142,True,1,59,73,93,4,229
143,False,1,79,69,74,8,230
144,True,1,73,93,81,6,253
145,True,1,81,61,68,2,212
146,True,1,97,60,58,2,217
147,True,2,58,53,95,8,214
148,True,1,78,90,77,8,253
150,True,1,50,59,45,8,162
151,True,1,51,51,77,4,183
152,False,2,47,100,48,10,205
472,False,3,55,96,75,5,231
475,True,1,65,58,65,4,192
478,False,2,52,54,50,8,164
479,True,2,56,76,70,3,205
485,True,2,65,100,72,7,244
488,False,3,53,97,74,5,229
492,False,3,46,76,45,1,168
495,True,1,81,80,83,4,248
498,False,2,85,93,76,3,257
499,False,2,65,93,92,6,256
502,False,2,92,91,61,1,245
504,True,3,60,85,64,6,215
515,True,3,66,64,53,2,185
516,False,2,86,61,51,9,207
517,True,1,56,90,86,3,235
518,False,2,51,59,91,2,203
523,True,2,89,51,99,10,249
526,True,1,94,47,48,4,193
527,False,1,55,75,78,6,214
534,False,3,69,57,52,5,183
537,True,1,63,45,73,2,183
538,True,1,59,99,92,10,260
539,True,1,87,72,52,0,211
540,True,1,45,54,50,10,159
541,True,1,63,46,70,0,179
542,True,1,64,97,74,8,243
543,True,1,81,87,62,3,233
545,True,1,72,71,64,4,211
546,False,1,69,50,60,6,185
547,True,1,69,61,54,6,190
548,True,1,83,45,59,10,197
549,True,1,52,52,85,3,192
550,True,1,96,80,74,10,260
551,True,1,64,79,45,7,195
552,True,1,100,80,66,9,255
553,False,1,83,100,74,10,267
554,False,1,61,78,67,3,209
555,True,1,74,99,89,0,262
556,True,1,75,86,79,7,247
557,True,1,84,86,59,3,232
558,True,1,95,73,53,2,223
559,False,1,53,91,62,2,208
560,True,1,48,76,45,10,179
561,True,1,68,52,100,10,230
562,True,1,58,99,85,6,248
563,True,1,66,91,92,0,249
565,True,1,85,69,94,2,250
566,True,1,78,69,97,0,244
567,True,1,98,88,80,10,276
568,True,1,81,91,70,1,243
569,True,1,69,53,49,8,179
570,False,1,83,82,92,1,258
571,True,1,50,76,98,3,227
572,False,1,99,60,98,10,267
573,True,1,64,73,59,7,203
574,True,1,89,72,78,10,249
575,False,1,80,51,51,6,188
