ID,Согласие_на_зачисление,Приоритет_ОП,Балл_Физика_ИКТ,Балл_Русский,Балл_Математика,Балл_ИД,Сумма_баллов
2,False,2,83,62,48,2,195
4,False,1,88,94,91,6,279
5,True,1,70,88,62,2,222
6,True,1,67,58,59,7,191
7,False,3,45,70,53,2,170
8,True,1,99,51,96,5,251
10,True,1,91,61,93,1,246
11,False,1,61,100,63,2,226
12,True,3,72,75,86,9,242
13,True,1,58,65,90,6,219
14,True,1,81,81,51,7,220
15,False,1,75,62,90,8,235
16,True,1,66,98,96,2,262
17,True,1,47,96,72,5,220
19,True,1,72,62,86,6,226
20,False,1,51,58,91,7,207
21,True,1,98,80,64,8,250
22,True,1,56,60,81,6,203
23,True,1,51,91,57,0,199
24,False,2,86,56,74,3,219
25,True,1,65,73,61,9,208
26,False,2,88,81,89,2,260
28,True,1,93,90,68,10,261
29,False,1,100,87,62,6,255
30,True,1,57,57,62,3,179
31,True,1,94,73,45,7,219
32,True,1,47,53,70,4,174
33,False,1,61,74,53,0,188
34,False,1,53,91,70,6,220
36,False,1,92,67,68,8,235
37,False,1,61,64,57,2,184
38,True,1,81,75,58,10,224
39,False,1,47,83,82,0,212
40,True,1,54,100,66,2,222
41,True,1,53,85,76,3,217
42,True,1,82,75,79,7,243
43,True,1,73,100,71,3,247
44,True,1,88,70,68,6,232
45,False,1,93,91,45,9,238
46,True,1,46,69,91,5,211
47,True,1,51,61,80,10,202
48,True,1,56,60,83,4,203
49,False,1,96,100,97,5,298
50,True,1,96,83,96,1,276
51,True,2,70,78,69,2,219
53,True,1,70,95,92,6,263
54,False,1,55,72,60,0,187
55,True,1,85,45,87,5,222
56,True,1,86,75,82,8,251
57,False,1,84,51,100,3,238
58,True,1,45,83,93,0,221
59,True,1,88,54,75,8,225
60,True,1,48,74,93,7,222
214,False,1,61,88,57,3,209
216,False,1,85,100,87,1,273
217,True,1,52,66,70,8,196
220,True,1,76,100,70,10,256
221,False,1,91,62,77,3,233
222,True,1,75,47,63,5,190
223,False,1,100,92,81,9,282
224,False,1,64,45,52,9,170
225,False,1,65,81,78,10,234
226,False,1,45,61,99,5,210
227,False,1,49,57,83,1,190
228,True,1,88,99,91,4,282
229,True,1,53,61,51,10,175
230,True,1,59,77,95,6,237
231,True,1,92,84,66,8,250
232,True,1,95,89,56,0,240
233,True,1,75,97,71,0,243
234,False,1,55,72,56,0,183
235,True,1,61,87,98,8,254
236,False,1,83,71,90,7,251
237,True,1,48,87,64,9,208
238,False,1,78,60,62,6,206
239,True,1,69,75,58,10,212
